VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone,trip_duration_minutes,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_dayofweek,pickup_is_weekend,avg_speed_mph,cost_per_mile,tip_percentage,time_of_day,is_inter_borough,revenue_per_minute
2,2019-01-01 00:43:59,2019-01-01 00:49:31,1,1.05,1,N,79,148,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,,Manhattan,East Village,Yellow Zone,Manhattan,Lower East Side,Yellow Zone,5.53,2019,1,1,0,1,0,11.39,8.34,24.33,Night,0,1.58
2,2019-01-01 00:53:09,2019-01-01 01:01:16,1,1.91,1,N,148,137,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,,Manhattan,Lower East Side,Yellow Zone,Manhattan,Kips Bay,Yellow Zone,8.12,2019,1,1,0,1,0,14.11,5.13,0.0,Night,0,1.21
1,2019-01-01 00:28:52,2019-01-01 01:01:14,1,6.0,1,N,48,209,2,25.0,0.5,0.5,0.0,0.0,0.3,26.3,,Manhattan,Clinton East,Yellow Zone,Manhattan,Seaport,Yellow Zone,32.37,2019,1,1,0,1,0,11.12,4.38,0.0,Night,0,0.81
2,2019-01-01 00:18:15,2019-01-01 00:32:11,1,7.08,1,N,132,28,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8,,Queens,JFK Airport,Airports,Queens,Briarwood/Jamaica Hills,Boro Zone,13.93,2019,1,1,0,1,0,30.5,3.08,0.0,Night,0,1.56
1,2019-01-01 00:22:08,2019-01-01 00:35:02,2,1.7,1,N,143,237,1,9.5,0.5,0.5,2.0,0.0,0.3,12.8,,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone,12.9,2019,1,1,0,1,0,7.91,7.53,21.05,Night,0,0.99
2,2019-01-01 00:22:20,2019-01-01 00:29:00,1,0.65,1,N,234,170,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3,,Manhattan,Union Sq,Yellow Zone,Manhattan,Murray Hill,Yellow Zone,6.67,2019,1,1,0,1,0,5.85,12.77,16.67,Night,0,1.24
2,2019-01-01 00:47:45,2019-01-01 01:06:03,1,1.13,1,N,50,68,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,,Manhattan,Clinton West,Yellow Zone,Manhattan,East Chelsea,Yellow Zone,18.3,2019,1,1,0,1,0,3.7,10.88,0.0,Night,0,0.67
2,2019-01-01 00:24:10,2019-01-01 00:40:31,3,2.73,1,N,161,236,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,,Manhattan,Midtown Center,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone,16.35,2019,1,1,0,1,0,10.02,5.42,0.0,Night,0,0.91
2,2019-01-01 00:48:26,2019-01-01 00:50:13,3,0.33,1,N,162,229,1,3.5,0.5,0.5,1.0,0.0,0.3,5.8,,Manhattan,Midtown East,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,1.78,2019,1,1,0,1,0,11.12,17.58,28.57,Night,0,3.26
2,2019-01-01 00:25:06,2019-01-01 01:02:24,1,8.3,1,N,161,37,2,31.0,0.5,0.5,0.0,5.76,0.3,38.06,,Manhattan,Midtown Center,Yellow Zone,Brooklyn,Bushwick South,Boro Zone,37.3,2019,1,1,0,1,0,13.35,4.59,0.0,Night,1,1.02
1,2019-01-01 00:18:20,2019-01-01 00:49:27,4,3.8,1,N,144,237,1,20.0,0.5,0.5,4.26,0.0,0.3,25.56,,Manhattan,Little Italy/NoLiTa,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone,31.12,2019,1,1,0,1,0,7.33,6.73,21.3,Night,0,0.82
1,2019-01-01 00:50:50,2019-01-01 00:58:38,3,1.8,1,N,237,236,1,8.0,0.5,0.5,2.3,0.0,0.3,11.6,,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone,7.8,2019,1,1,0,1,0,13.85,6.44,28.75,Night,0,1.49
2,2019-01-01 00:26:33,2019-01-01 01:00:09,2,2.44,1,N,68,100,1,20.5,0.5,0.5,6.54,0.0,0.3,28.34,,Manhattan,East Chelsea,Yellow Zone,Manhattan,Garment District,Yellow Zone,33.6,2019,1,1,0,1,0,4.36,11.61,31.9,Night,0,0.84
2,2019-01-01 00:42:18,2019-01-01 00:49:07,1,0.75,1,N,113,249,1,6.0,0.5,0.5,1.1,0.0,0.3,8.4,,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,West Village,Yellow Zone,6.82,2019,1,1,0,1,0,6.6,11.2,18.33,Night,0,1.23
2,2019-01-01 00:50:24,2019-01-01 00:59:03,1,1.1,1,N,249,249,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,,Manhattan,West Village,Yellow Zone,Manhattan,West Village,Yellow Zone,8.65,2019,1,1,0,1,0,7.63,9.6,23.47,Night,0,1.22
2,2019-01-01 00:38:07,2019-01-01 00:51:56,2,3.29,1,N,141,166,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Morningside Heights,Boro Zone,13.82,2019,1,1,0,1,0,14.28,4.19,0.0,Night,0,1.0
2,2019-01-01 00:53:15,2019-01-01 01:07:33,1,3.06,1,N,24,262,1,12.5,0.5,0.5,0.0,0.0,0.3,13.8,,Manhattan,Bloomingdale,Yellow Zone,Manhattan,Yorkville East,Yellow Zone,14.3,2019,1,1,0,1,0,12.84,4.51,0.0,Night,0,0.97
1,2019-01-01 00:06:10,2019-01-01 00:12:42,1,0.9,1,N,114,114,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,Greenwich Village South,Yellow Zone,6.53,2019,1,1,0,1,0,8.27,9.72,24.17,Night,0,1.34
1,2019-01-01 00:16:34,2019-01-01 00:36:24,1,2.4,1,N,114,246,1,14.5,0.5,0.5,3.15,0.0,0.3,18.95,,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,19.83,2019,1,1,0,1,0,7.26,7.9,21.72,Night,0,0.96
1,2019-01-01 00:45:24,2019-01-01 01:08:54,2,5.7,1,N,68,75,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,,Manhattan,East Chelsea,Yellow Zone,Manhattan,East Harlem South,Boro Zone,23.5,2019,1,1,0,1,0,14.55,3.74,0.0,Night,0,0.91
1,2019-01-01 00:09:11,2019-01-01 00:48:23,2,4.7,1,N,45,48,1,25.0,0.5,0.5,5.25,0.0,0.3,31.55,,Manhattan,Chinatown,Yellow Zone,Manhattan,Clinton East,Yellow Zone,39.2,2019,1,1,0,1,0,7.19,6.71,21.0,Night,0,0.8
1,2019-01-01 00:56:24,2019-01-01 01:34:36,4,4.3,1,N,48,229,2,24.5,0.5,0.5,0.0,0.0,0.3,25.8,,Manhattan,Clinton East,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,38.2,2019,1,1,0,1,0,6.75,6.0,0.0,Night,0,0.68
1,2019-01-01 00:18:49,2019-01-01 00:27:26,1,1.7,1,N,231,79,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,,Manhattan,TriBeCa/Civic Center,Yellow Zone,Manhattan,East Village,Yellow Zone,8.62,2019,1,1,0,1,0,11.83,6.56,23.12,Night,0,1.29
1,2019-01-01 00:47:22,2019-01-01 01:01:52,1,5.8,1,N,231,112,1,18.5,0.5,0.5,3.95,0.0,0.3,23.75,,Manhattan,TriBeCa/Civic Center,Yellow Zone,Brooklyn,Greenpoint,Boro Zone,14.5,2019,1,1,0,1,0,24.0,4.09,21.35,Night,1,1.64
2,2019-01-01 00:32:42,2019-01-01 00:50:16,1,3.48,1,N,79,87,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3,,Manhattan,East Village,Yellow Zone,Manhattan,Financial District North,Yellow Zone,17.57,2019,1,1,0,1,0,11.88,4.4,0.0,Night,0,0.87
1,2019-01-01 00:33:43,2019-01-01 00:50:22,2,1.6,1,N,234,161,1,11.5,0.5,0.5,0.0,0.0,0.3,12.8,,Manhattan,Union Sq,Yellow Zone,Manhattan,Midtown Center,Yellow Zone,16.65,2019,1,1,0,1,0,5.77,8.0,0.0,Night,0,0.77
1,2019-01-01 00:20:30,2019-01-01 00:36:46,2,2.5,1,N,113,229,1,12.0,0.5,0.5,0.67,0.0,0.3,13.97,,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,16.27,2019,1,1,0,1,0,9.22,5.59,5.58,Night,0,0.86
1,2019-01-01 00:43:25,2019-01-01 00:46:40,2,0.9,1,N,141,263,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Yorkville West,Yellow Zone,3.25,2019,1,1,0,1,0,16.62,7.0,0.0,Night,0,1.94
1,2019-01-01 00:48:56,2019-01-01 00:53:03,1,0.6,1,N,263,262,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8,,Manhattan,Yorkville West,Yellow Zone,Manhattan,Yorkville East,Yellow Zone,4.12,2019,1,1,0,1,0,8.74,11.33,22.22,Night,0,1.65
2,2019-01-01 00:29:58,2019-01-01 00:39:54,1,2.27,1,N,141,43,1,9.5,0.5,0.5,2.5,0.0,0.3,13.3,,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Central Park,Yellow Zone,9.93,2019,1,1,0,1,0,13.72,5.86,26.32,Night,0,1.34
2,2019-01-01 00:46:30,2019-01-01 00:50:03,3,0.58,1,N,236,236,1,4.5,0.5,0.5,1.74,0.0,0.3,7.54,,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone,3.55,2019,1,1,0,1,0,9.8,13.0,38.67,Night,0,2.12
2,2019-01-01 00:51:51,2019-01-01 00:59:13,1,1.07,1,N,236,263,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Yorkville West,Yellow Zone,7.37,2019,1,1,0,1,0,8.71,7.29,0.0,Night,0,1.06
2,2019-01-01 00:09:58,2019-01-01 00:25:43,1,2.31,1,N,114,170,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36,,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,Murray Hill,Yellow Zone,15.75,2019,1,1,0,1,0,8.8,6.65,22.26,Night,0,0.98
2,2019-01-01 00:35:22,2019-01-01 00:49:06,1,1.93,1,N,162,142,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,,Manhattan,Midtown East,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone,13.73,2019,1,1,0,1,0,8.43,6.37,0.0,Night,0,0.9
2,2019-01-01 00:51:00,2019-01-01 01:10:04,1,3.68,1,N,142,116,1,15.5,0.5,0.5,5.04,0.0,0.3,21.84,,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Hamilton Heights,Boro Zone,19.07,2019,1,1,0,1,0,11.58,5.93,32.52,Night,0,1.15
2,2019-01-01 00:20:58,2019-01-01 00:52:54,4,2.39,1,N,249,100,2,19.5,0.5,0.5,0.0,0.0,0.3,20.8,,Manhattan,West Village,Yellow Zone,Manhattan,Garment District,Yellow Zone,31.93,2019,1,1,0,1,0,4.49,8.7,0.0,Night,0,0.65
2,2019-01-01 00:56:57,2019-01-01 01:17:54,4,3.07,1,N,68,239,1,14.5,0.5,0.5,3.95,0.0,0.3,19.75,,Manhattan,East Chelsea,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone,20.95,2019,1,1,0,1,0,8.79,6.43,27.24,Night,0,0.94
1,2019-01-01 00:24:42,2019-01-01 00:27:35,1,0.5,1,N,238,238,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35,,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone,2.88,2019,1,1,0,1,0,10.42,12.7,26.25,Night,0,2.2
1,2019-01-01 00:28:55,2019-01-01 00:35:24,1,1.1,1,N,238,239,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone,6.48,2019,1,1,0,1,0,10.19,7.09,0.0,Night,0,1.2
