VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:43:59,2019-01-01 00:49:31,1,1.05,1,N,79,148,1,6,0.5,0.5,1.46,0,0.3,8.76,
2,2019-01-01 00:53:09,2019-01-01 01:01:16,1,1.91,1,N,148,137,2,8.5,0.5,0.5,0,0,0.3,9.8,
1,2019-01-01 00:28:52,2019-01-01 01:01:14,1,6.00,1,N,48,209,2,25,0.5,0.5,0,0,0.3,26.3,
2,2019-01-01 00:18:15,2019-01-01 00:32:11,1,7.08,1,N,132,28,2,20.5,0.5,0.5,0,0,0.3,21.8,
1,2019-01-01 00:22:08,2019-01-01 00:35:02,2,1.70,1,N,143,237,1,9.5,0.5,0.5,2,0,0.3,12.8,
2,2019-01-01 00:22:20,2019-01-01 00:29:00,1,.65,1,N,234,170,1,6,0.5,0.5,1,0,0.3,8.3,
2,2019-01-01 00:47:45,2019-01-01 01:06:03,1,1.13,1,N,50,68,2,11,0.5,0.5,0,0,0.3,12.3,
2,2019-01-01 00:24:10,2019-01-01 00:40:31,3,2.73,1,N,161,236,2,13.5,0.5,0.5,0,0,0.3,14.8,
2,2019-01-01 00:48:26,2019-01-01 00:50:13,3,.33,1,N,162,229,1,3.5,0.5,0.5,1,0,0.3,5.8,
2,2019-01-01 00:25:06,2019-01-01 01:02:24,1,8.30,1,N,161,37,2,31,0.5,0.5,0,5.76,0.3,38.06,
1,2019-01-01 00:18:20,2019-01-01 00:49:27,4,3.80,1,N,144,237,1,20,0.5,0.5,4.26,0,0.3,25.56,
1,2019-01-01 00:50:50,2019-01-01 00:58:38,3,1.80,1,N,237,236,1,8,0.5,0.5,2.3,0,0.3,11.6,
2,2019-01-01 00:26:33,2019-01-01 01:00:09,2,2.44,1,N,68,100,1,20.5,0.5,0.5,6.54,0,0.3,28.34,
2,2019-01-01 00:42:18,2019-01-01 00:49:07,1,.75,1,N,113,249,1,6,0.5,0.5,1.1,0,0.3,8.4,
2,2019-01-01 00:50:24,2019-01-01 00:59:03,1,1.10,1,N,249,249,1,7.5,0.5,0.5,1.76,0,0.3,10.56,
2,2019-01-01 00:38:07,2019-01-01 00:51:56,2,3.29,1,N,141,166,2,12.5,0.5,0.5,0,0,0.3,13.8,
2,2019-01-01 00:53:15,2019-01-01 01:07:33,1,3.06,1,N,24,262,1,12.5,0.5,0.5,0,0,0.3,13.8,
1,2019-01-01 00:06:10,2019-01-01 00:12:42,1,.90,1,N,114,114,1,6,0.5,0.5,1.45,0,0.3,8.75,
1,2019-01-01 00:16:34,2019-01-01 00:36:24,1,2.40,1,N,114,246,1,14.5,0.5,0.5,3.15,0,0.3,18.95,
1,2019-01-01 00:45:24,2019-01-01 01:08:54,2,5.70,1,N,68,75,2,20,0.5,0.5,0,0,0.3,21.3,
1,2019-01-01 00:09:11,2019-01-01 00:48:23,2,4.70,1,N,45,48,1,25,0.5,0.5,5.25,0,0.3,31.55,
1,2019-01-01 00:56:24,2019-01-01 01:34:36,4,4.30,1,N,48,229,2,24.5,0.5,0.5,0,0,0.3,25.8,
1,2019-01-01 00:18:49,2019-01-01 00:27:26,1,1.70,1,N,231,79,1,8,0.5,0.5,1.85,0,0.3,11.15,
1,2019-01-01 00:47:22,2019-01-01 01:01:52,1,5.80,1,N,231,112,1,18.5,0.5,0.5,3.95,0,0.3,23.75,
2,2019-01-01 00:32:42,2019-01-01 00:50:16,1,3.48,1,N,79,87,2,14,0.5,0.5,0,0,0.3,15.3,
1,2019-01-01 00:33:43,2019-01-01 00:50:22,2,1.60,1,N,234,161,1,11.5,0.5,0.5,0,0,0.3,12.8,
1,2019-01-01 00:20:30,2019-01-01 00:36:46,2,2.50,1,N,113,229,1,12,0.5,0.5,0.67,0,0.3,13.97,
1,2019-01-01 00:43:25,2019-01-01 00:46:40,2,.90,1,N,141,263,2,5,0.5,0.5,0,0,0.3,6.3,
1,2019-01-01 00:48:56,2019-01-01 00:53:03,1,.60,1,N,263,262,1,4.5,0.5,0.5,1,0,0.3,6.8,
2,2019-01-01 00:29:58,2019-01-01 00:39:54,1,2.27,1,N,141,43,1,9.5,0.5,0.5,2.5,0,0.3,13.3,
2,2019-01-01 00:46:30,2019-01-01 00:50:03,3,.58,1,N,236,236,1,4.5,0.5,0.5,1.74,0,0.3,7.54,
2,2019-01-01 00:51:51,2019-01-01 00:59:13,1,1.07,1,N,236,263,2,6.5,0.5,0.5,0,0,0.3,7.8,
2,2019-01-01 00:09:58,2019-01-01 00:25:43,1,2.31,1,N,114,170,1,11.5,0.5,0.5,2.56,0,0.3,15.36,
2,2019-01-01 00:35:22,2019-01-01 00:49:06,1,1.93,1,N,162,142,2,11,0.5,0.5,0,0,0.3,12.3,
2,2019-01-01 00:51:00,2019-01-01 01:10:04,1,3.68,1,N,142,116,1,15.5,0.5,0.5,5.04,0,0.3,21.84,
2,2019-01-01 00:20:58,2019-01-01 00:52:54,4,2.39,1,N,249,100,2,19.5,0.5,0.5,0,0,0.3,20.8,
2,2019-01-01 00:56:57,2019-01-01 01:17:54,4,3.07,1,N,68,239,1,14.5,0.5,0.5,3.95,0,0.3,19.75,
1,2019-01-01 00:24:42,2019-01-01 00:27:35,1,.50,1,N,238,238,1,4,0.5,0.5,1.05,0,0.3,6.35,
1,2019-01-01 00:28:55,2019-01-01 00:35:24,1,1.10,1,N,238,239,2,6.5,0.5,0.5,0,0,0.3,7.8,
1,2019-01-01 00:37:14,2019-01-01 00:39:47,1,.90,1,N,239,238,1,5,0.5,0.5,1.25,0,0.3,7.55,
1,2019-01-01 00:41:46,2019-01-01 00:46:23,1,1.20,1,N,238,239,2,6,0.5,0.5,0,0,0.3,7.3,
1,2019-01-01 00:48:54,2019-01-01 00:54:25,1,1.20,1,N,239,238,2,6.5,0.5,0.5,0,0,0.3,7.8,
1,2019-01-01 00:57:44,2019-01-01 01:02:11,1,1.30,1,N,238,143,2,6,0.5,0.5,0,0,0.3,7.3,
1,2019-01-01 00:12:25,2019-01-01 00:27:52,1,.90,1,N,107,90,1,10.5,0.5,0.5,2.35,0,0.3,14.15,
1,2019-01-01 00:38:00,2019-01-01 01:39:59,3,10.70,1,N,125,238,2,46,0.5,0.5,0,0,0.3,47.3,
2,2019-01-01 00:11:09,2019-01-01 00:24:39,1,4.21,1,N,170,238,1,14,0.5,0.5,3.82,0,0.3,19.12,
2,2019-01-01 00:27:36,2019-01-01 00:31:29,1,1.14,1,N,238,143,1,5.5,0.5,0.5,1.02,0,0.3,7.82,
2,2019-01-01 00:34:39,2019-01-01 00:53:43,2,4.77,1,N,143,231,1,17,0.5,0.5,6.95,0,0.3,25.25,
2,2019-01-01 00:56:24,2019-01-01 01:00:58,2,.53,1,N,231,211,1,4.5,0.5,0.5,1.74,0,0.3,7.54,
2,2019-01-01 00:08:44,2019-01-01 00:15:12,1,1.68,1,N,141,75,2,7.5,0.5,0.5,0,0,0.3,8.8,
2,2019-01-01 00:21:02,2019-01-01 00:26:31,1,.73,1,N,263,236,2,5.5,0.5,0.5,0,0,0.3,6.8,
2,2019-01-01 00:29:58,2019-01-01 00:33:39,1,.78,1,N,236,263,1,5,0.5,0.5,1.26,0,0.3,7.56,
2,2019-01-01 00:42:07,2019-01-01 00:57:51,1,6.33,1,N,263,244,1,19.5,0.5,0.5,4,0,0.3,24.8,
2,2019-01-01 01:00:57,2019-01-01 01:07:52,1,1.25,1,N,244,243,2,7,0.5,0.5,0,0,0.3,8.3,
2,2019-01-01 00:04:03,2019-01-01 00:27:24,1,3.83,1,N,144,50,1,17,0.5,0.5,2,0,0.3,20.3,
2,2019-01-01 00:30:35,2019-01-01 00:43:22,1,1.88,1,N,143,238,1,10,0.5,0.5,3.39,0,0.3,14.69,
2,2019-01-01 00:46:24,2019-01-01 00:50:30,1,.81,1,N,238,151,1,5,0.5,0.5,1,0,0.3,7.3,
2,2019-01-01 00:55:05,2019-01-01 00:58:02,1,.60,1,N,151,151,1,4,0.5,0.5,0.8,0,0.3,6.1,
2,2019-01-01 01:01:04,2019-01-01 01:06:10,1,1.43,1,N,238,166,1,6.5,0.5,0.5,2.34,0,0.3,10.14,
1,2019-01-01 00:24:21,2019-01-01 00:52:54,1,20.90,1,N,132,66,1,55.5,0.5,0.5,11.35,0,0.3,68.15,
1,2019-01-01 00:54:27,2019-01-01 01:06:07,2,1.80,1,N,66,25,2,9.5,0.5,0.5,0,0,0.3,10.8,
2,2019-01-01 00:24:22,2019-01-01 00:50:58,1,2.93,1,N,249,229,1,17.5,0.5,0.5,3.76,0,0.3,22.56,
